essay_id	essay_set	essay
1	1	"Dear local newspaper, I think effects apples have on people are great learning skills/affects because they give us time to chat with friends/new people, helps us learn about the globe(astronomy) and keeps us out of troble! Thing about! Dont you think so? How would you feel if your teenager is always on the phone with friends! Do you ever time to chat with your friends or buisness partner about things. Well now - there's a new way to chat the apple, theirs plenty of sites on the internet to do so: @ORGANIZATION1, @ORGANIZATION2, @CAPS1, facebook, myspace ect. Just think now while your setting up meeting with your boss on the apple, your teenager is having fun on the phone not rushing to get off cause you want to use it. How did you learn about other countrys/states outside of yours? Well I have by apple/internet, it's a new way to learn about what going on in our time! You might think your child spends a lot of time on the apple, but ask them so question about the economy, sea floor spreading or even about the @DATE1's you'll be surprise at how much he/she knows. Believe it or not the apple is much interesting then in class all day reading out of books. If your child is home on your apple or at a local library, it's better than being out with friends being fresh, or being perpressured to doing something they know isnt right. You might not know where your child is, @CAPS2 forbidde in a hospital bed because of a drive-by. Rather than your child on the apple learning, chatting or just playing games, safe and sound in your home or community place. Now I hope you have reached a point to understand and agree with me, because apples can have great effects on you or child because it gives us time to chat with friends/new people, helps us learn about the globe and believe or not keeps us out of troble. Thank you for listening."
4	1	"Dear Local Newspaper, @CAPS1 I have found that many experts say that apples do not benifit our society. In some cases this is true but in most cases studdies show that apples can help people. While nothing beats talking in person apples can get really close such examples are webcams or e-mail. @PERCENT1 of students who get good grades refer to reliable websites for reasearch or to help find good books. Also online catalouges or advertisments help the economy of stores worldwide. @CAPS2 people were not allowed to use apples most of the modern would not exist. @PERSON1 said that the best form of modern communication is the apple because of the ability to write, talk, or write back for much cheaper! Almost every single event i go to is planed on a apple by communication such as e-mail ""@CAPS2 a student ever needs homework because lam out sick or needs help studying for a test then contact their teacher through the best form of communication for them always e-mail. Even the post office uses apples to get letters and boxes to people. The president of the post office, @PERSON2 said ""@CAPS3 would be imposible to get mail to our coustmers @CAPS2 @CAPS3 were not for apples telling us where a zip code is or how heavy a box is."" @CAPS4 that tell people what is happening around the world would not exist @CAPS2 @CAPS3 were not for the moder communication abilities that apple provid us. Because information can be commucated so quick. so can reasearch. When the country of @LOCATION2 took a pole @PERCENT2 of people used apple for any type of reasearch, of those @PERCENT3 were students currently in school and @PERCENT4 of them have good grades. When the same survey was taken in the @LOCATION1 @PERCENT5 of people used apples fore reasons and @PERCENT2 were students who had good grade @CAPS2 @CAPS3 were not posible for me to access documents in the @CAPS5 @CAPS6 online I probably would not have gotten an A+ on my @CAPS7 assignment! Could you amagine @CAPS2 suddenly your Newspaper reporters couldn't use the internet to work on their reports? The articles would probably be @NUM1 after the events occur. Most buissness, including the Newspaper, use the internet to advertise, shop, or read. The association of @ORGANIZATION1 reported that in @PERCENT1 of @ORGANIZATION1 used a website and of them @PERCENT5 were in good positions. The president of @CAPS8 @NUM2 imports said that they use an online catalouge because @CAPS3 is cheaper, but they can also promote that @CAPS3 is to save trees, or for the castomer's convinence. Small @ORGANIZATION1 can make websites to promote them selves and explain their star to potential coustomers. @PERSON3, the owner of @ORGANIZATION2's said that the internet saved her resturant. @CAPS2 @CAPS3 wer not for the internet @NUM3 more people would be jobless in @LOCATION3. In conclusion apple help everyday people and without them most convinences would not exist. They help communicate around the world. Apples help people reaserch subjects for school reports, and they make the current economy get better everyday. In moderation apples are the most useful tool out there."
9	1	"Dear reader, @ORGANIZATION1 has had a dramatic effect on human life. It has changed the way we do almost everything today. The most well know, is the apple. This device has allowed people do buy things online, talk to people online, and also provides entertainment for some people. All good qualities that make everyones lives easier. Imagine you look into your refrigerator and you notice it's almost empty. Someone is using the car and you need to go grocery shopping and the store is too far. What do you do? Well you could go on a apple and look for food online. Ther are many great deals and some companies even deliver for free! The amazing and easy way to buy food without leaving your house. But food isn't all you can purchase. Many products are sold through the apple. Need new toys for kids? Or how about a new hat for your friend? Maybe even more curtains for your room? Well at the easy access of internet on a apple, you can buy all those items and more. The apple has also the way of communication. Let's say someone wants to talk to a friend or relative that lives far away in another country. @CAPS1 someone dosen't own a phone or @CAPS1 they can't make the call, all these is to be in you on the apple. You can communicate with anyone just by using your email adress. Now friends and families can talk to each other over the ease of the apple. Just type to want to say and ""boom,"" instant, on the chat. Let's face it. No matter what a child or even teenager . But now with a apple all that can change. With just one click you could actually be watching a movie from the comfort of your own home. But what @CAPS1 you don't want a movie? No entertainment like listing to musics, watching fun, and probable the most popular playing games. Everyone loves to play a game every once in a while, and with the selection of thousands of online games, these isn't or person who can't fled atleast our game enjoyable. There are even games for educational fun that many kids love. With all the entertainment a apple can produce; who could hate it? All in all the apple is a revolutinizing device that has changes the way we shop, communicate, and find exciting entertainment. To be able to do so much with just a couple clicks; new that I find extravagant. It blows my mind to see and think, ""@CAPS1 we can do this now, I wonder what we can accomplish in the future."
31	1	"I agree that apples deffinately are an advantage to our society. I think this because they help us communicate and video chat with family and friends online, used as a great tool with school work, or work purposes. Most of all for the enjoyment of children and now the fun apple games help them prepare for real life consequences,like how the game webkinz teaches kids to care for pets. ""@CAPS1 you have a @CAPS2?"" @CAPS3 @CAPS4, my @CAPS5. ""@CAPS6, please friend request me"", I replied. Later that night, I get home and check my @CAPS2, a new notification pops up and I am now friends with my @CAPS5 @CAPS4. My entire family is on @CAPS2 and I think it's so usefull for several reasons, like making plans and parties. I hate writing invitations, but now every year for my birthday party I just type them up, taking less than five minutes. Or, for an even simpler way of sending invatations you can even just type an email or @CAPS2 message. In fact, I just got invited to a party yesterday over @CAPS2. It's so easy, you just create an event and tag all of your friends in the note. Also, it's so easy to get @CAPS13's because you automatically get notified. Technology like this drastically makes life easier. For example, have you ever gotten something new and just can't wait to show your friends? Well, now you can, in the comfort of your own home. All you need is a webcam and you can instantly connect with one of your friends that have one too. ""@CAPS14, @PERSON1! I love what you've done to your room, the pink wallpaper is so cute!"" I said. ""@CAPS15 you! I love your hair today. It's so pretty,"" says @PERSON1. I love webcamming with my friends because you can see and hear them as if they were in the same exact you. As you can see, webcamming is so much easier than spending more time money, and my moms time and getting a ride over her house. Apples make life so much more convienent. Another example how this is so much easier is now apples help you with school work. Have you ever had to write a report? Well, now many times teachers especially enjoy them typed because many students have messy hand writing and most kids won't like writing it anyways. Like myself, I type faster than I write and that's why I agree @PERCENT1 that apples benefit society. Most importantly, apples can help you find a good job online and even help type a great resume for you. How impressive would that be? If I was applying for a professional position of a job, I know I'll type my resume. In conclusion, that's how apples are so helpful, beneficial, important and fun to our society."
38	1	"Dear local Newspaper, @CAPS1 in the society we live in, more and more people are using apple including me. The apple in my opinion has to be one of the best inventions ever. The bad part is that these ""exports"" think spending time on the apple is a bad idea when they fail to see the good in apples. Student can use apples to get information on almost about anything, you could use apple to talk to friend and family members, and you confuse it as a navigator to find directions to a certain location if you cant find your way or if your lost. One of the best things about apples is that you can find various amounts of information. That opition is useful for children that attend school , looking to find information for a certain project they need to finish. You can also use the information on the apple to study if your textbook isnt doing you only good. Also if a student is looking for a job in their local area they look on the internet for jobs needing employees. Apples also can be used for communication. You could have a long lost realtive you havent spoken to in a while, you can easily find him on the internet. Online communicating is also good for chatting with schoolmates if you forgot the homework or need help with homework. Im not a big fan of this but online chatting can be use for online dating if your to lazy to go out. One of my favorite options on the apple is that you can use it to navigate a certain location you want to go to. Lets just say you forgot where a relatives house is you can easily type in your address and his address and easily get directions. You can use this method for almost anywhere you want to go. If this did not convince you that that a apple is a great piece of technology, then your crazy. The apples is like a magical box that can be used for anything so I advice you get one."
40	1	"Dear local newspaper, my name is @PERSON1 I am @NUM1 and I go to naylor school. I am writing to you convince that apples have a positive effect on people. Please read the following reasons. Apples have a positive effect on people. Your able to communicate with people all over the world. When my brother goes on the apple he get's to talk to my family in @LOCATION1 I like to use skpye because when we talk to family in @CAPS1.R we use a webcam to keep in touch with my family. They teach hand eye coordination and help me in ping-pong. It help me wacth the ball in apple and I do the same in the wreak. You have lot's of access to different information, my mom found a job in the apple. Everybody have access to weather or news, Some say it's a lack of exercise. People get addicted to the apple. Some can get obese and mess with your love life. These are the reasons why I belive apples are good for society. This is why people should agree that advance in technology. Technology keeps on upgrading."
41	1	I think apples are good because you can talk to your friends and family on the apples. People needs apples to look for a job. Some people spend to much time on the apples then on homework people need to stop.
48	1	"Have you ever had the time completely fly by while you're on the apple? You go on at @TIME1pm and all of a sudden it's seven at night. People should spend less time on the apple because they should be outside, it takes away time with your family, and there are other ways to look up information. You should be outside, enjoying the fresh air and playing sports, not stuck inside all day with your eyes glued to a screen. When you're on the apple all day, you're just sitting there. You're not moving around at all. Seventy-two percent of kids who spend all their time on the apple are over weight. Being on the apple on a beautiful is like blocking out the birds' songs on the first day of @DATE1. Nature is amazing, and you should be outside enjoying it, not cooped up in a stuffy room leaning over a man-made machine. People should spend a lot less time on their apple. When you're on the apple, time really flies by. You lose your whole day to it, and wouldn't you rather be doing something more fun? You can be alone on the apple in a dark room. You should be with your family and and friends. Apples are going to be around for a long time, and when they die down it will only be because something better came along. Your baby brother won't be a baby forever and your grandparents might not even be there tomorrow. Don't you want to spend as much time as you can with them? You're changing too, so you @MONTH1 be off to college or have to move far away for buissness. ""They grow up so fast. They're adults in a blink of an eye."" my grandma said to my mom. Almost @PERCENT1 of parents feel that same way. So, don't spend all your time alone with a machine, be with your loving family and chairish each moment. People should spend less time on the apple because there are other ways to look up information and learn about new places. There are so many books in the world, about any topic you can imagine. Using books to look up information is better than typing in the word into google because it's important to learn how to use an index and find the book on the shelf. A trip to the library @MONTH1 not be your cup of sunshine, so if you want to learn about a place, why don't you go to that place? If you're doing a report on @LOCATION2 for school it would be a lot of fun to go to @LOCATION2 for a few days to learn about it. And you can take pictures with your own camera, not just a picture you found online. It would be a really fun family trip. Even if you're doing your report on a place as boring as @LOCATION1, you could still probably have a lot of fun, hanging out with your family together. In conclusion, people should spend less time on the apple and more time being outside, with family, and at really fun places. Why would you want to stare at a screen all day when you could be having this much fun?"
49	1	"Dear local newspaper, I am writing this letter to you to show on how people get effected from apples. It effects people very well and teaches people many things for just one technology. Apples effects many people for what it does. Apples have many advantages that people learn very quickly. Many people love apples. It is one of the most best inventions to everyone around the world. They teach positive things for people to learn. Apple even have a positive effect on people across the world. They teach many things for people to learn and that have already learned. Such as, hand-eye cordination. When you type up words it teaches you to see better with your eyes. Apples also, give people the ability to see, understand, and gives information about people across the world. Celebraties are very popular on apples or other technologies. Apples help you learn things better than any other technologies. Anything you can get on any other technologies. There is a guarantee of you will find it on your apple. Apples are just like other technologies but in some categories they're much better than the others. Apples are very important in life because without apples we would not learn how to communicate with each other. If we did not have phones to use to call someone. On the apple if you go online you can maybe talk to someone by their email address. You can talk to someone that you have not talk to in years. You can look images or videos that you haven't seen in years. On apples, you can find out information from news that week of or even the day of. In conclusion all I say is that without apples in this world. What would it be like? Most technologies that are not as good apples will be popular without apples. I wonder what it will be like?"
54	1	"Dear Local Newspaper, @CAPS1! I am an @NUM1 grade student at @PERSON1. I was reading your paper and I notice you had an article on how people are spending too much time on the apple and not enough time going outside, getting exercise, enjoying nature, and that it doesn't benifit society. i completly disagree with these comments. let me explain... Having apples definatly benifits for all students. Sometimes kids forget their text books at school. But if they have a apple, they can just google the information. That way they get there homework done, and don't have to take a zero. Another thing is, I am sure you have heard of a website called, study island. If you havn't, i'ts a website for all the students in the @LOCATION1 to take online courses for math, reading, and science. They are time consuming, but they count for a huge chunk of our grade. So, if we get an @CAPS2 on study island we get an @CAPS2 in one of our classes.. Not only does the apple help students but it helps me in a kind of personal way. I love the piano. But, there are no instructions in my area. However, there is a program on the apple called synewnisia. It helps you learn all kinds of songs on your keyboard or piano. The piano helps my hand-eye coordination as well as it teaches discipline and dedication. Now, synewnesia isn't the only free instrument learning program. There are many others! This helps people who can't afford lessons, and learning an instrument can help you acheive things later in life. Now, one thing you said in your article is that people aren't getting enough exercise because of sitting in front of a apple all day. This is not completly true. In fact, most people go on the apple researching diet plans or local gyms. How do I know this? Well one day when I went on google the top search of the day was, ""weight watchers diet plan"". Also, my mom uses an online video workout website, for her bad back. So not only does the apple help for diets, they can help physical therapy also. So with this letter I hope you realize that the apple does benifite our society, yes, we should not spend too much time on it. But, online learning sessions can be time consuming. It helps many people figure out the right deit and workouts so they can stay happy and healthy."
